on,-39,5,-35,13,-14,36
on,-39,12,-43,6,-4,42
on,-18,35,-24,21,-12,34
on,-2,48,-14,38,-9,44
on,-14,40,-37,13,-47,4
on,-34,18,-5,43,-46,5
on,-37,13,-37,12,-43,6
on,-15,32,-4,42,-49,3
on,-12,34,-7,37,-11,35
on,-49,-2,-24,21,-23,21
off,-41,-30,34,43,17,29
on,-35,18,-19,31,-49,-3
off,8,27,34,44,-42,-23
on,-8,40,-19,30,-8,37
off,5,21,4,18,-18,-6
on,-5,47,-34,15,-10,34
off,36,47,16,30,-43,-31
on,-26,18,-37,9,-14,31
off,-48,-31,-14,5,-46,-29
on,-7,43,-47,3,-43,2
on,44376,68804,-48705,-15357,24716,43885
on,-21982,7354,-72100,-52655,-54700,-23422
on,-95686,-69611,-6138,7341,-34461,682
on,-39313,-22291,-52769,-22058,-74207,-55228
on,-84182,-71511,-22383,-8133,9884,34013
on,13052,31860,-49825,-39836,-76278,-47166
on,42112,63739,49609,82927,-5652,1570
on,50956,59360,-20349,-6642,58309,73337
on,-32266,-7203,-78572,-61137,-21395,-1168
on,-15107,5437,-62160,-41818,40086,67411
on,-49148,-14247,-85805,-70118,4246,26870
on,-27523,1624,47442,70217,-59370,-41370
on,-89874,-63281,-20337,-12317,-14524,6016
on,-13503,10223,-1492,29130,59433,82456
on,-64415,-34133,-43879,-38552,-46662,-23085
on,32608,43505,-67814,-51197,35147,54934
on,-25117,-13446,18009,50229,-88050,-65503
on,72951,89013,-9518,706,-10421,9211
on,-67073,-56268,-36009,-24374,-61656,-35775
on,44600,55717,-58629,-44296,21261,31591
on,55056,76817,28977,47134,-44485,-41047
on,-62574,-40195,-54355,-46418,7541,17714
on,-82572,-60863,-3753,19884,19658,33974
on,65144,71401,-53869,-24826,-18180,9515
on,-58529,-28139,-57811,-37877,-60152,-31098
on,-20485,-14887,-41400,-17796,-85827,-56385
on,62242,93571,-23011,-2550,-36540,-15190
on,-54334,-39347,-46921,-34989,-66685,-38436
on,46212,60163,36666,65994,14670,33455
on,-68552,-60302,-49448,-29874,-33016,-16690
on,29609,57238,-78679,-41679,-31629,-20579
on,-10425,23658,-74839,-69124,-50624,-15942
on,22794,51988,3487,15323,57968,80084
on,-72108,-55039,29525,61626,-38041,-14406
on,-15261,16612,-57966,-51812,49096,74982
on,-68987,-63103,32101,62014,7504,12131
on,-42995,-24212,64192,72052,7814,19630
on,79089,87509,-7205,-2585,-7129,12036
on,54105,83521,-38043,-23555,-34805,-15476
on,-94920,-58707,-18246,-1906,9602,26529
on,10052,31620,46809,67240,-63858,-34276
on,12796,28130,-40930,-21439,59802,74164
on,-4453,12194,54786,70834,26134,57093
on,12948,39879,-81054,-67328,4952,24256
on,43498,54911,12897,20772,-67851,-40434
on,4651,21791,40098,52894,55234,78276
on,20929,45690,47182,66484,-38123,-10665
on,-35571,-18884,-95156,-70523,-12407,655
on,21485,42816,59018,80252,27737,49408
on,31224,61039,-26356,561,59264,68661
on,55006,75859,38222,49067,-30342,-23838
on,-24251,-8350,-96431,-64530,16331,34444
on,-19775,-4190,73940,82734,-26826,-4406
on,21070,40022,-79577,-53804,32493,56755
on,-30806,-26033,-60967,-47048,-53522,-48149
on,9826,42348,50570,86082,28563,45884
on,-11534,15662,18034,22234,73697,90496
on,-27429,-14001,58457,67484,37728,49990
on,-39472,-16372,43990,66995,37300,71422
on,20618,30555,-12093,8163,-82969,-63500
on,56305,79821,10924,32400,-22945,3230
on,1794,23575,-36530,-9271,-80139,-73909
on,60521,81165,-57760,-24345,-10922,2051
on,-23272,-7919,-75247,-41911,-59625,-37674
on,-12014,5284,-80974,-65776,1772,20046
on,3588,13589,-45163,-6767,74163,86557
on,-64758,-57654,-19983,-13306,-58565,-26249
on,15420,37337,55167,68832,-43355,-30867
on,29579,54828,682,25901,56548,69101
on,-11354,8987,-74475,-51152,32959,57100
on,-90573,-69126,-12096,-1585,1729,21605
on,27642,48565,26246,55845,-69312,-39550
on,-34232,-20872,-83429,-55110,298,20921
on,-68519,-55303,47006,49460,-39589,-14535
on,-87096,-73679,5361,21350,-22441,-13338
on,48940,75199,39848,49521,3995,28269
on,-46361,-38221,39348,53553,33117,53828
on,49419,78649,-2079,10892,26175,47193
on,-47542,-27244,-23738,4756,54014,67766
on,-49815,-38896,-56296,-35230,-60855,-43925
on,-42155,-6740,-79318,-72062,-32112,-6229
on,-41199,-26591,49982,56899,46794,68594
on,14202,36199,-86960,-51889,-32872,-6816
on,5652,20041,-30336,-9171,-93426,-75385
on,4130,10245,-78424,-44425,53202,60401
on,76934,83473,-31382,-3003,-13769,18038
on,16203,27968,-86890,-60027,-36571,-17471
on,-36020,-13155,24047,41612,44971,70126
on,44639,71308,24855,41285,36948,47080
on,-85564,-63840,-571,12444,23655,53760
on,-1113,22743,17625,34671,-84990,-71891
on,48665,69026,-59040,-39470,-34599,-14500
on,28163,47713,-71752,-42764,-39707,-33186
on,-24922,1320,-78488,-72526,-39221,-19901
on,-48169,-29548,-10710,3739,60703,67263
on,58003,89557,-4512,15511,8512,33474
on,-53118,-45886,-58614,-34964,-46668,-27288
on,35649,62168,-27426,-5418,56714,80730
on,-59247,-36213,46584,59150,42857,54015
on,-83070,-65963,-37491,-30054,4923,22902
on,-61931,-37206,-68651,-30565,21041,44091
on,-21476,1237,6542,32156,61723,80349
on,-17242,11913,65981,79849,30336,41531
on,-72754,-53313,32875,61238,-10727,17032
on,57853,76734,-47427,-16285,-49900,-33201
on,69015,72619,-21511,9321,-41343,-37464
on,50063,78694,-7573,22119,36808,63570
on,-52332,-30665,-69078,-67631,-2466,25247
on,-82578,-49563,-43704,-21430,-52902,-20524
